Article_ID,Date,Title,Summary,Topic_2digit
96,1/13/1996,THE BLIZZARD OF 1996: THE PUDDLES; Getting to the Other Side: Not a Task for the Dainty ,blizzard,26
97,1/13/1996,Clinton Casts Budget Battle As Test of Nation's Fairness ,clinton talks abou the budget,1
98,1/13/1996,To Our Readers ,delivery problems due to the weather,26
99,1/13/1996,U.S. Sees Bosnia Role Widening To Protect War Crimes Inquiries ,US investigation into bosnia war crimes,19
100,1/13/1996,THE 1996 ELECTION: THE DARK HORSE; Republican Newcomer Gets His Rivals' Attention ,steve forbes,20
101,1/14/1996,Clinton Visits Bosnia to Thank the G.I.'s ,clinton in bosnia,19
102,1/14/1996,Defending the Faith ,house republicans and their party's stance on the budget,1
103,1/14/1996,"In the Grisly Shadow of Rwanda, Ethnic Violence Stalks Burundi ",ethnic violence in africa,19
104,1/14/1996,"Top Target in Iowa Debate: Forbes, the No. 2 Candidate ",iowa caucuses,20
105,1/14/1996,A Sleuth Gets His Suspect: Shakespeare ,a lost shakespeare,28
106,1/14/1996,VETERANS EXPAND HOSPITAL SYSTEM IN FACE OF CUTS ,veterans hospital system expands,16
107,1/14/1996,THE BLIZZARD OF 1996: THE OVERVIEW; Melting Snow in Northeast Has Nowhere to Go but Into Homes ,blizzard in the northeast,26
108,1/15/1996,"In Bookstore Chains, Display Space Is for Sale ",book selling,15
109,1/15/1996,A Super Bowl Reunion: Steelers and Cowboys ,super bowl matchup set,29
110,1/15/1996,Retired American Troops to Aid Bosnian Army in Combat Skills ,american troops helping bosnians,16
111,1/15/1996,"Managed Care Has Trouble Treating AIDS, Patients Say ",AIDS HMOs,3
112,1/15/1996,PROGRAM TO CLEAN TOXIC WASTE SITES IS LEFT IN TURMOIL ,toxic waste cleanup,7
113,1/15/1996,POLITICS: A NEW POPULIST; Idaho Freshman Embodies G.O.P.'s Hope and Fear in '96 ,new radical republican,20
114,1/15/1996,THE NEXT WONDER: A special report.; Cracks Show Early in China's Big Dam Project ,china building a dam,19
115,1/16/1996,Warm Resorts Fill As Cabana Fever Grips Icy Easterners ,lots of northerners vacationing in the south,15
116,1/16/1996,Space Telescope Reveals 40 Billion More Galaxies ,hubble space telescope,17
117,1/16/1996,Mrs. Dole to Resume Career Even if She Is the First Lady ,elizabeth dole,20
118,1/16/1996,Old-Style Ward Politics Won For Turkey's Islamic Party ,elections in turkey,19
119,1/16/1996,Remembering Martin Luther King ,service for martin luther king,2
120,1/16/1996,Mexico Arrests A Top Suspect In Drug Trade ,mexico arrests a drug suspect,19
121,1/16/1996,Russians Pounding Rebels Who Hold 100 Hostages ,russia attacking in chechnya,19
122,1/17/1996,"Senator Cohen, G.O.P. Centrist, Plans to Retire ",GOP senator to retire,20
123,1/17/1996,"Defense, and Promotion, by Hillary Clinton ",hillary clinton's new book and whitewater controversy,20
124,1/17/1996,"Citing Security, China Will Curb Foreign Financial News Agencies ",china curbing foreign news,19
125,1/17/1996,Found: Most of Missing Matter Lost Around Edges of Universe ,people find some missing matter,17
126,1/17/1996,ASSEMBLY PASSES A BILL REGULATING CHILDBIRTH STAYS ,law on childbirth stay length,12
127,1/17/1996,"CHECHEN REBELS WIDEN RESISTANCE, HIJACKING A FERRY ",chechen-russia fighting,19
128,1/17/1996,A KEY REFORMER RESIGNS IN RUSSIA ,economic reformer resigns in russia,19
129,1/17/1996,"In Iowa, It's Organizing vs. Advertising ",iowa caucuses,20
130,1/18/1996,"Saying Hostages Are Dead, Russians Level Rebel Town ",russia fighting in chechnya,19
131,1/18/1996,BUDGET STANDOFF DEEPENS AS G.O.P. CALLS OFF TALKS ,budget crisis,1
132,1/18/1996,Trade Organization Rules Against U.S. ,WTO ruling against US,18
133,1/18/1996,It's Been an Uphill Battle to Sell Windows 95 ,microsoft struggles to sell windows 95,17
134,1/18/1996,Barbara Jordan Dies at 59; Her Voice Stirred the Nation ,barbara jordon dies,30
135,1/18/1996,SHEIK SENTENCED TO LIFE IN PRISON IN BOMBING PLOT ,shiekh sentenced in a bombing plot trial,19
136,1/18/1996,Life in Space? 2 New Planets Raise Thoughts ,new planets discovered,17
137,1/19/1996,G.O.P. Candidates Divide Religious Right ,religious right and the republican primary,20
138,1/19/1996,No Benefit Is Found From Beta Carotene ,study of beta carotene,3
139,1/19/1996,Baseball Approves Interleague Play ,interleague play in baseball,29
140,1/19/1996,Giuliani Fights For Alternative On Arbitration ,nyc labor disputes,5
141,1/19/1996,"In Uneasy Time, Saudi Prince Provides a Hope of Stability ",uneasy time in saudi arabia,19
142,1/19/1996,REPUBLICANS LACK CONSENSUS ON HOW TO BAR SHUTDOWN ,republican positioning on budget troubles,1
143,1/19/1996,"Missing Records Were on a Table In the White House, Aide Testifies ",missing hillary clinton records,20
144,1/19/1996,RUSSIANS CAPTURE CAUCASUS VILLAGE; SOME FOES ESCAPE ,russians fighting in the caucasus,19
145,1/19/1996,"Stirred by Flashy Entrepreneur, Tokyo Market Hits Panic Mode",allegations of a company's securities fraud throws Japanese stock market into panic,19
146,1/20/1996,Giuliani Visits Mosque ,NY mayor goes to a mosque,31
147,1/20/1996,RASH OF FAILURES IN FLIGHT CONTROL ,Cause of power failures at regional air traffic control centers,10
148,1/20/1996,Employers Add to Payrolls ,Labor Department report eases fears of recession,5
149,1/20/1996,As if Winter's Fury Wasn't Enough ,weather in NYC,26
150,1/20/1996,Pro-Chechen Ferry Hijackers Surrender to Turks ,Pro-Chechen hijackers surrender to Turkish authorities,19
151,1/20/1996,POLITICS: IN THE SOUTH; A Southern Democrat Resists The Lure of Party Switching ,Democrat Representative distances himself from other Democrats,20
152,1/20/1996,"New Jersey Seizes Jail From a County, Citing Poor Control ",new jersey takes a jail over from a county,12
153,1/20/1996,NEW YORK REGION REGISTERS A SURGE IN UNEMPLOYMENT ,unemployment in new york,1
154,1/20/1996,BOSNIA FOES FINISH PULLBACK BUT FAIL ON P.O.W. RELEASE ,Bosnian forces pull back troops and weapons from front line,19
155,1/20/1996,NATO Cannot Meet Requests of Tribunal ,war crimes tribunal in bosnia,19
156,1/21/1996,Revolution Scorecard ,Progress of major legislative initiatives,20
157,1/21/1996,Arafat Backed In First Voting By Palestinians ,Palestinians endorse Arafat in first general election,19
158,1/21/1996,"DEADLY TURNING POINT: A special report.; AIDS Epidemic, Late to Arrive, Now Explodes in Populous Asia ",AIDS in Thailand affects Buddhist temple,19
159,1/21/1996,G.I.'s Moment of Truth: Face to Face With Serbs ,NATO forces disarming combatants in Bosnia and Herzegovina,16
160,1/21/1996,A Grand Old Party Animal Tries Courting Young Voters ,Bob Dole campaigning for Presidency,20
161,1/21/1996,With the Greatest of Ease . . . ,space shuttle lands,17
162,1/21/1996,G.O.P. REVOLUTION HITS SPEED BUMPS ON CAPITOL HILL ,Republican Revolution stalled on Capitol Hill,20
163,1/21/1996,"New Jersey Jail Raid Is Unusual, But the Reasons for It Are Not ",New Jersey jail raid,12
164,1/22/1996,A Puzzling Path: From P.S. 40 to a Cell in Peru ,American citizen sentenced to life in prison in Peru for treason,19
165,1/22/1996,THE FLOODING AFTER THE STORM: THE OVERVIEW; Flooding Called Worst in Decades ,floods,26
166,1/22/1996,Giuliani Faces Another Deficit Despite Cutting ,Guiliani faces deficit despite cutting,24
167,1/22/1996,A DEFAULT THREAT IS HINTED AS WAY TO SETTLE BUDGET ,Republican effort to revive party's economic and socail agendas,20
168,1/22/1996,Firebrand Who Got Singed Says Being Speaker Suffices ,Newt Gingrich feels stress of being Speaker,20
169,1/22/1996,Mexico City Journal; Mariachis of Mexico Are Living the Blues ,Bitter times for Mariachis,19
170,1/22/1996,10 Days That Shook Russia: Siege in the Caucasus ,Chechens seize hostages,19
171,1/23/1996,Supreme Court Roundup; Christian Scientists Rebuffed in Ruling By Supreme Court ,Supreme Court refuses to hear appeal by Christian Scientists,2
172,1/23/1996,A Michelangelo on 5th Ave.? It Seems So ,Sculpture by Michelangelo,28
173,1/23/1996,An Irate G.O.P. Set to Take On State of Clinton ,Republicans meet on response to State of the Union,20
174,1/23/1996,Hillary Clinton Is Subpoenaed To Testify Before a Grand Jury ,investigaton of hillary clinton,20
175,1/23/1996,TREASURY CHIEF WARNS CONGRESS ABOUT DEFAULT ,Congress warned about national default,20
176,1/23/1996,"Chechen Insurgent, Still Defiant, Pledges to Carry On the Struggle ",Chechen rebels escape with hostages,19
177,1/23/1996,A Flood-Torn Village Finds It Has Friends From the City ,Firefighters help flood-ravaged town,26
178,1/24/1996,STATE OF THE UNION: THE RESPONSE; Dole Says President Defends Old Elites Seeking Largesse ,Republican response to Clinton's State of the Union,20
179,1/24/1996,"On the Environment, Pataki Is Seen in All Shades of Green ",NY governor position on the environment,7
180,1/24/1996,Patients Challenge Mental Health Plans ,mental health care,3
181,1/24/1996,Newark Airport Is Pressing to Surpass Kennedy ,newark airport is growing,10
182,1/24/1996,"FEARING ATTACK, U.S. IS TIGHTENING BOSNIA SECURITY ",reports of possible attacks on US troops in bosnia,16
183,1/24/1996,"STATE OF THE UNION: THE OVERVIEW; CLINTON OFFERS CHALLENGE TO NATION, DECLARING, 'ERA OF BIG GOVERNMENT IS OVER' ",state of the union address,20
184,1/24/1996,INTERNATIONAL BUSINESS; Japan Trade Surplus Shrinks For the First Time in 5 Years ,japan trade surplus sinks,18
185,1/24/1996,STATE OF THE UNION: THE ASSESSMENT; Talking Like a Front-Runner ,clinton gives a campaign speech,20
186,1/25/1996,Final Stock of the Smallpox Virus Now Nearer to Extinction in Labs ,WHO decides to kill the last smallpox viruses,3
187,1/25/1996,Tick Disease Advance ,lyme disease research,3
188,1/25/1996,Clinton Wins Praise For Talk on Values ,clinton's state of the union address,20
189,1/25/1996,G.O.P. LAWMAKERS OFFER TO ABANDON DEBT-LIMIT THREAT ,budget dispute,1
190,1/25/1996,"House Democrats Buoyed, But G.O.P. Retains an Edge ",strategizing for the fall elections,20
191,1/25/1996,"Giuliani Weighs Reducing Police Force by 1,000 Jobs ",NYC budget woes,24
192,1/25/1996,New Flexibility By Iraq on Oil Worries Market ,potential for a drop in oil prices,8
193,1/25/1996,"In Japan, a Ritual of Mourning for Abortions ",abortion in japan,19
194,1/26/1996,G.O.P. BACKING OFF FROM TOUGH STAND OVER ENVIRONMENT ,GOP changing position on the environment,7
195,1/26/1996,MEASURE TO AVERT A THIRD SHUTDOWN IS PASSED IN HOUSE ,budget dispute in the house,1
196,1/26/1996,Flood of Cash to Mutual Funds Helped to Fuel '95 Bull Market ,mutual funds doing well,1
197,1/26/1996,Yeltsin Picks Soviet-Era Aide To Guide Russian Economy ,new choice for russia's top economic official,19
198,1/26/1996,It's Official: Taxi Fares Will Rise ,NYC to raise taxi fares,10
199,1/26/1996,Giuliani Vows No Patrol Cuts If He Trims the Police Force ,NYC to not reduce number of police officers despite budget troubles,12
200,1/26/1996,U.S. Plan to Change Iran Leaders Is an Open Secret Before It Begins ,CIA campaign to change iran's government,19
201,1/26/1996,African Women in France Battling Polygamy ,polygamy among africans in france,19
202,1/27/1996,INTERNATIONAL BUSINESS; MEXICO TO REPAY PART OF U.S. LOAN ,mexico paying back money in US,19
203,1/27/1996,Economic Surge in BangladeshUndercut by Political Turmoil ,political turmoil in bangladesh,19
204,1/27/1996,When Idols Collide ,the movie evita,28
205,1/27/1996,Hillary Clinton Tells Grand Jury She Cannot Account for Records ,investigation of hillary clinton,20
206,1/27/1996,News Analysis; Giuliani Credits Strategy For the City's Safer Streets ,crime in NYC drops,12
207,1/27/1996,Du Pont Accused of a Killing Holds Off Police at His Home ,murder suspect holds off police,12
208,1/27/1996,CBS News Televises Disputed Interview On Tobacco Giant ,cbs airs an interview with a tobacco executive,3
209,1/27/1996,3D U.S. SHUTDOWN AVERTED BY BILL ON STOPGAP PLAN ,government budget crisis,1
210,1/28/1996,Russian Banking Scandal Poses Threat to Future of Privatization ,bank scandal in russia,19
211,1/28/1996,DESPARATE STAND IN A DREAM WORLD ,murder suspect arrested,12
212,1/28/1996,Challenger's Legacy; Risks Remain Despite NASA's Rebuilding ,legacy of the challenger explosion,17
213,1/28/1996,SUPER BOWL ,super bowl preview,29
214,1/28/1996,WHITMAN'S BUDGET CALLS FOR A DROP IN STATE SPENDING ,new jersey state budget,24
215,1/28/1996,"In Dole's World, She Is the Backstage Power ",bob dole's wife,20
216,1/28/1996,War Crimes Tribunal on Bosnia Is Hampered by Basic Problems ,problems with a war crimes trial,19
217,1/28/1996,Many Exchange a Briefcase For the Sample Case of Sales ,many people becoming salesmen,5
218,1/29/1996,"Stepping Out of a Frigid House, Du Pont Heir Is Seized by Police ",man arrested in murder of a wrestler,12
219,1/29/1996,"Joseph Brodsky, Exiled Poet Who Won Nobel, Dies at 55 ",poet dies,30
220,1/29/1996,"With Growing Risks, Strikes Reach a Low ",strikes are declining,5
221,1/29/1996,Argentine Military for Rent; Turns Swords Into Tin Cups ,argentine military changes,19
222,1/29/1996,Ethiopian Jews Riot in Jerusalem ,riot over donated blood in israel,19
223,1/29/1996,FLIGHT TO NOWHERE: A SPECIAL REPORT; AMBITIOUS UPDATE OF AIR NAVIGATION BECOMES A FIASCO ,air traffic control system waste,10
224,1/29/1996,"New Hero as Cowboys Win Super Bowl, 27-17 ",cowboys win the super bowl,29
225,1/29/1996,A Prison Blurs Colors of Gangs To Curb Violence Among Rivals ,program to end prison gangs,12
226,1/30/1996,France Ending Nuclear Tests That Caused Broad Protests ,france ending nuclear testing,19
227,1/30/1996,G.O.P. MAY REVIVE A WELFARE PLAN TO SNARE CLINTON ,republicans to push a welfare plan,13
228,1/30/1996,Saudi Gadfly and British Embarrassment ,british government expels a saudi dissident,19
229,1/30/1996,Johnson Returns to Lakers and Will Play Tonight ,magic johnson returns to the NBA,29
230,1/30/1996,Whitman Plans Welfare Limits And Incentives to Promote Work ,welfare reform in new jersey,13
231,1/30/1996,PATAKI IS SEEKING CURBING OF RIGHTS OF CRIME SUSPECTS ,new york governor and crime,2
232,1/30/1996,Giuliani to Propose Merging of Agencies ,merging agencies in nyc,24
233,1/30/1996,Discipline or Abuse? Arrest Renews a Debate ,debate over the right of parents to discipline their children,12
234,1/30/1996,"A Secret Agency's Secret Budgets Yield Lost Billions, Officials Say ",national reconnaisance office loses lots of money,16
235,1/31/1996,Giuliani Wary of Cuts ,Guilani's next budget,24
236,1/31/1996,Disaster for a 204-Year-Old Treasure of Italian Opera ,fire destroys an opera house,19
237,1/31/1996,Prison for Young Killers Renews Debate on Saving Society's Lost ,debate over how to deal with child killers,12
238,1/31/1996,Replacements Lift Building Owners in Strike ,NYC building worker strike,5
239,1/31/1996,THE MEDIA BUSINESS; Murdoch Joins a Cable-TV Rush Into the Crowded All-News Field ,fox starts a news channel,17
240,1/31/1996,FEDERAL IMPASSE A STUMBLING BLOCK TO STATE BUDGETS ,federal budget crisis is going to hurt state budgets,24
241,1/31/1996,A Futile Rush In Desperation For Green Card ,lots of immigrants try to get green cards after a false rumor,5
242,1/31/1996,Big Spending Pledges by Yeltsin Are Worrying Foreign Creditors ,yeltsin promising to spend a lot of money,19
243,1/31/1996,Lure of the Education Market Remains Strong for Business ,privatization of public schools still happening,6
244,2/1/1996,Albany Set to Relax Secrecy In Instances of Child Abuse ,child abuse secrecy laws in NY,12
245,2/1/1996,Oregon's Mail-In Election Brings Cheer to Democrats ,oregon election results,20
246,2/1/1996,"Blast Kills 60 In Sri Lanka; 1,400 Injured ",tamil tigers attack in sri lanka,19
247,2/1/1996,Moscow Journal; Stalin's Music Man Is a Kremlin Star Again ,composer for stalin is still relevant,19
248,2/1/1996,FEDERAL RESERVE TRIMS KEY RATES TO SPUR ECONOMY ,federal reserve cuts interest rate,1
249,2/1/1996,New York Sued By Government On Foster Care ,NY sued over foster care,12
250,2/1/1996,GIULIANI'S BUDGET PLAN: THE OVERVIEW; GIULIANI'S BUDGET CUTS SPENDING 5% AND LOWERS TAXES ,NY state budget,24
251,2/2/1996,Taking Care in the Bitter Cold ,cold weather,26
252,2/2/1996,"For the G.O.P., New Dynamics ",steve forbes,20
253,2/2/1996,A New AIDS Drug Yielding Optimism As Well as Caution ,new drug for AIDS,3
254,2/2/1996,COMMUNICATIONS RESHAPED: A 'DIGITAL FREE-FOR-ALL'; A Measure's Long Reach ,new communications law,17
255,2/2/1996,"COMMUNICATIONS RESHAPED: THE OVERHAUL; CONGRESS VOTES TO RESHAPE COMMUNICATIONS INDUSTRY, ENDING A 4-YEAR STRUGGLE ",new communications law,17
256,2/2/1996,Russian Coal Miners Strike for Back Pay ,strike of russian coal miners,19
257,2/2/1996,"China, Vying With Taiwan, Explores Public Relations ",china relations with US and taiwan,19
258,2/2/1996,"3 Boys Used Internet to Plot School Bombing, Police Say ",boys planning a school bombing,6
259,2/2/1996,INSURERS FIGHTING A BIPARTISAN BILL FOR HEALTH CARE ,battle over health care,3
260,2/3/1996,"POLITICS: ADVERTISING; In Campaign Ads, Forbes Is Taking On All Comers ",steve forbes advertising,20
261,2/3/1996,"Red Flag Aloft, a Russian City Defiantly Upholds Soviet Ways ",russian city resists the new regime,19
262,2/3/1996,The Flat-Tax Debate ,steve forbes tax proposal,1
263,2/3/1996,Unemployment Climbs ,increase in unemployment rate,1
264,2/3/1996,"Gene Kelly, Dancer of Vigor and Grace, Dies ",gene kelly dies,30
265,2/3/1996,BITTER COLD LOCKS MUCH OF THE U.S. IN A FIERCE GRIP ,cold weather in the US,26
